,BiasAdjustedAbsReturn,NaiveForecast,GARCHForecast,EGARCHForecast
2025-06-24,0.21858682405077606,0.1472967015958017,0.1245152373321593,0.1263378340301114
2025-06-25,0.011146142858795175,0.1491261916225652,0.1330021408920482,0.1206177575930967
2025-06-26,0.15505475272401276,0.1189817436412323,0.1231072754527177,0.1118889784691856
2025-06-27,0.09860572556374611,0.1194864194814921,0.1230023355125318,0.1067447821993536
2025-06-30,0.09489843296672237,0.1199043236555487,0.1174646209300967,0.1011764406836659
2025-07-01,0.006441576551797089,0.119880454202279,0.1125315261710954,0.0961683698184525
2025-07-02,0.08998887858944166,0.1191585174945476,0.1056526520495184,0.0924027168715148
2025-07-03,0.1561916314823944,0.1194987833156702,0.1022902461600665,0.0882665922974124
2025-07-07,0.14881771805509836,0.119947791830272,0.1067030063656419,0.0857800082872588
2025-07-08,0.010900587420131535,0.1096696369615506,0.1138929926705647,0.1072789807375663
2025-07-09,0.11895164033223087,0.1098378919225602,0.1068496345165523,0.1029355516462265
2025-07-10,0.056032164347663685,0.1069464523644447,0.1057984500640454,0.0980449084315573
2025-07-11,0.07006686570201746,0.092385607142,0.1003331785903026,0.0926056746082229
2025-07-14,0.03792857269570393,0.0909373119457666,0.0990802189064092,0.0993133269943699
2025-07-15,0.08520091976102516,0.0907656209371739,0.0940574449348631,0.0934209237989013
2025-07-16,0.06640597683552572,0.0921643900474994,0.0956314056762351,0.1025819883774498
2025-07-17,0.12138372096549185,0.091600827236275,0.092310345228534,0.0968172821206309
2025-07-18,0.014575680376752248,0.091760414453966,0.094463652789944,0.0926532938263371
2025-07-21,0.0376894666160459,0.0918628229280068,0.0905095174060008,0.090513483951555
2025-07-22,0.0028487759994350378,0.0896623082377449,0.08684387735742,0.0855733620988957
2025-07-23,0.16854664020996443,0.0863806903909657,0.0836499194548422,0.0815749444249095
2025-07-24,0.006584991715555096,0.0885229877989219,0.0948214147218631,0.0798843894377316
2025-07-25,0.08386933347836459,0.0879376771375724,0.0902786687878941,0.0759172573390117
2025-07-28,0.004997759750957778,0.0870772287388565,0.0891031018899538,0.0732922258399623
2025-07-29,0.05254564893803742,0.0871171535385036,0.085714620479555,0.0717213324370664
2025-07-30,0.025071887720506916,0.0790488473224831,0.085672941041782,0.0779455458088189
2025-07-31,0.07477253581824861,0.076514364548538,0.0836930914678195,0.0790125917255411
2025-08-01,0.3288015911836736,0.071962574134728,0.0863133333364098,0.0881906362989314
2025-08-04,0.30013537526327905,0.0896397462563155,0.1404351012569834,0.1506631629052534
2025-08-05,0.10112653156828433,0.0971826582413471,0.1591271529496282,0.1430884395643152
2025-08-06,0.15181396970174663,0.0963603050371946,0.1508032893629833,0.1482387372068282
2025-08-07,0.01667238463099838,0.0939531910911437,0.1453013770324612,0.1384161506693959
